date,price,volume
20200429,8249.097520256,1125294579.93933
20200428,7733.4054470309,246189973.32514
20200427,7714.8119034848,305949206.142783
20200426,7601.1767451146,209951074.538295
20200425,7545.1013708286,188492147.795075
20200424,7522.7663388982,314537973.879413
20200423,7303.4603595235,524321636.124296
20200422,7017.9772543435,241986155.07898
20200421,6889.2161552397,246892052.542137
20200420,7064.7823599651,363500820.302598
20200419,7180.5541066197,178289989.610573
20200418,7165.0255338067,214160319.445785
20200417,7089.7021140897,259707517.669299
20200416,6944.9429058706,584799242.698487
20200415,6836.9948823308,267482799.419538
20200414,6917.0347767478,240457746.566034
20200413,6782.9587612834,420835148.553306
20200412,6973.9702394189,280845306.588582
20200411,6893.9693076285,158239897.937028
20200410,6990.4428084959,437587331.214198
20200409,7315.751284386,299611267.105786
20200408,7316.739417074,332469195.106616
20200407,7328.4992499971,459972806.285099
20200406,7101.9734580609,537366329.473865
20200405,6813.9273114822,178979392.246401
20200404,6791.4111286842,232166022.857963
20200403,6833.2116432715,361645774.368601
20200402,6747.1500779603,633459794.589101
20200401,6343.8143055249,367050974.309441
20200331,6486.1018372813,221496274.746184
20200330,6311.5421019294,432035577.216976
20200329,6143.7480215223,289000360.607478
20200328,6257.7831631452,365828064.505599
20200327,6714.1646815029,385778416.720138
20200326,6700.4700213189,295667744.792968
20200325,6691.2844973064,555881547.882748
20200324,6687.4610738335,698290857.883221
20200323,6150.3429240299,689142517.230284
20200322,6169.6250002298,459974900.944596
20200321,6196.7120831599,415332680.967489
20200320,6393.4526051974,962307070.241729
20200319,5801.1096806724,869329350.945648
20200318,5334.1389392605,571848910.307993
20200317,5367.6263378334,580905054.765538
20200316,5053.946803943,983538818.363226
20200315,5375.5465673713,576938269.474763
20200314,5475.0982668916,460027087.640181
20200313,5380.3708401488,1851375019.25596
20200312,6714.4917574136,2153665931.78569
20200311,7900.176447344,344442806.416523
20200310,7997.3883653715,399449924.773823
20200309,7939.5129251759,623596224.877289
20200308,8612.5550209669,535820710.044032
20200307,9088.5444670532,174294126.991694
20200306,9136.1497644705,188138588.912474
20200305,9056.9541180564,291802584.730488
20200304,8798.2763516353,175654435.27724
20200303,8825.2374348971,230411663.149596
20200302,8785.5600168304,266614004.790966
20200301,8603.6504995898,199325443.180158
20200229,8728.1386290497,129831732.497078
20200228,8743.2103706134,322787026.636708
20200227,8840.9319780803,391653046.971332
20200226,9073.5794533386,559670827.386708
20200225,9517.0794895311,308034881.534669
20200224,9750.9012016536,314725247.037545
20200223,9895.7089574437,218501163.842621
20200222,9692.5929403939,107739255.649068
20200221,9716.9525472205,277837080.302837
20200220,9608.864194136,330091986.105881
20200219,10090.4035704988,519400800.485154
20200218,9851.5272828169,358037216.037897
20200217,9725.3345851663,330112918.79215
20200216,9907.1910551963,268311889.771462
20200215,10137.9533485427,327799444.014314
20200214,10260.924592809,270269779.385902
20200213,10287.9990460878,491308923.839291
20200212,10341.9108444816,417492081.548695
20200211,9957.0468141647,463589417.596989
20200210,9915.2883023092,392640488.340356
20200209,10078.7273652237,321585973.063034
20200208,9812.5042937591,231955814.983741
20200207,9777.3635405171,232487981.506559
20200206,9690.4440765417,380564982.306661
20200205,9412.5766706382,411935717.586509
20200204,9216.4120027089,223105930.314729
20200203,9339.5501720846,303562161.440974
20200202,9385.1415581245,215835502.909702
20200201,9380.9085359877,122785426.646707
20200131,9349.9791450511,264078359.679335
20200130,9375.8046697153,397095708.558965
20200129,9340.3111539848,307442284.380264
20200128,9064.0427291263,445286935.473979
20200127,8755.0828338424,314994845.761536
20200126,8470.101216941,185564295.763135
20200125,8361.0776464159,116034616.376491
20200124,8419.9349788457,224431975.836377
20200123,8469.4952200918,308352630.396462
20200122,8695.8471968531,146608816.962715
20200121,8676.6682393693,192334611.501565
20200120,8677.2238233656,182112683.340276
20200119,8874.8726845719,437531946.701258
20200118,8916.4264027057,173729462.508007
20200117,8876.1928425488,416739689.490495
20200116,8699.8797444952,258738761.783744
20200115,8766.1672785789,389671853.381848
20200114,8605.0642400522,707363898.016927
20200113,8142.7498768378,148257683.143496
20200112,8150.4368262532,115374495.208914
20200111,8149.6764517758,191661960.433206
20200110,7928.9428982436,336783599.598295
20200109,7930.0506332053,238432354.164165
20200108,8255.9232139736,540583996.365792
20200107,7954.9657581957,479902865.17252
20200106,7567.4198736052,282637341.799026
20200105,7464.9013499226,143535666.342555
20200104,7361.7235458781,133012002.419965
20200103,7268.2486333453,303184831.278708
20200102,7122.9420255296,175065964.337055
20200101,7246.8016586079,84846403.682483
20191231,7246.4603776699,134567979.77714
20191230,7339.948565665,162260807.892645
20191229,7389.3807959604,130744191.271871
20191228,7346.9039092963,106520360.471441
20191227,7243.860149582,177959897.317708
20191226,7272.7535021052,167128549.591318
20191225,7258.7593087946,103879526.082173
20191224,7337.7497554119,182441930.01126
20191223,7546.1418541544,310194629.207428
20191222,7278.2257521753,191135491.536789
20191221,7198.6467435405,82722370.132436
20191220,7202.0885221123,155877017.120438
20191219,7199.8701017399,224740908.787425
20191218,6831.8475397416,467929818.539573
20191217,6848.5108536122,305770802.944401
20191216,7085.997456067,295066392.666827
20191215,7140.8323423763,112236455.86285
20191214,7210.5334655043,110584527.869522
20191213,7276.1965004614,134025557.876021
20191212,7221.5130276175,194366985.92783
20191211,7256.8127902756,138276925.831938
20191210,7343.9986647894,160447192.239647
20191209,7502.9889101342,252750945.714732
20191208,7536.5340479839,113612914.505322
20191207,7574.7375385583,102131766.795066
20191206,7448.1391778686,206048054.921179
20191205,7371.4497408802,211071048.810271
20191204,7319.6644665744,372038710.238186
20191203,7367.9100071315,130053039.026257
20191202,7359.6803673251,174323067.615163
20191201,7400.4462789445,216490203.527125
20191130,7698.0720471761,183745003.023812
20191129,7660.6281115875,273373239.966045
20191128,7565.3077136692,217005388.16881
20191127,7302.1044431312,475988177.97159
20191126,7188.8084573225,247312649.628976
20191125,7025.3281979207,579880702.184719
20191124,7207.0073365261,246352841.776686
20191123,7302.3604925558,181132404.015699
20191122,7394.8353053236,684769660.18484
20191121,7895.3204825153,378461210.152131
20191120,8143.9737625206,141086033.064838
20191119,8162.3683372291,189969686.944035
20191118,8421.8517833257,252791022.62595
20191117,8555.7552434689,119065040.858693
20191116,8513.7666102784,82963482.541441
20191115,8578.6542721106,260585867.850064
20191114,8695.2359142767,159470522.66078
20191113,8787.579920259,125557761.472159
20191112,8768.8130322773,189604246.90008
20191111,8827.7269505537,219172767.075512
20191110,8922.602324005,175034007.7156
20191109,8838.5412397228,115476747.29496
20191108,8999.9924528499,364440419.820186
20191107,9251.7801344,182288488.73506
20191106,9345.9336688775,196487076.64569
20191105,9355.3343676448,223244587.439617
20191104,9274.1207309749,273145235.7181
20191103,9235.4758760031,140899668.38127
20191102,9298.7703055218,151564554.296725
20191101,9175.8873151089,237194783.539944
20191031,9186.4114299929,313026547.170953
20191030,9200.0377171875,304019853.006373
20191029,9383.8906779997,372887130.594749
20191028,9478.3104476075,509183010.908136
20191027,9425.8024310925,541001933.886704
20191026,9344.4655531237,1375827773.79759
20191025,7930.947665152,704851532.295192
20191024,7493.9952498514,202936954.591754
20191023,7781.1643750412,485644522.10208
20191022,8231.6562320623,192679105.433966
20191021,8255.3223328863,201239516.078845
20191020,8062.7813169612,223070679.001645
20191019,8000.930696424,203695943.704227
20191018,7998.5373014542,275171362.089441
20191017,8065.3412214339,223223671.796128
20191016,8094.3488659856,308599569.704491
20191015,8294.2324369649,268481990.95755
20191014,8337.2800051379,208163942.94281
20191013,8388.6588949627,233358653.963619
20191012,8362.4459896858,156070348.58577
20191011,8421.9769288404,339665796.968715
20191010,8570.0696255169,240645817.444609
20191009,8352.6040212352,386928900.367682
