ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
IXIC,20220303,13837.59,13537.94,13837.59,13472.64,13752.02,-214.08,-1.56,2.65,1032190.8
IXIC,20220302,13597.53,13752.02,13796.55,13493.9,13532.46,219.56,1.62,2.24,1032994.0
IXIC,20220301,13716.7,13532.46,13777.04,13441.32,13751.4,-218.94,-1.59,2.44,1237790.0
IXIC,20220228,13570.83,13751.4,13810.64,13549.9,13694.62,56.78,0.41,1.9,1389382.0
IXIC,20220225,13485.26,13694.62,13696.86,13358.29,13473.59,221.03,1.64,2.51,978446.38
IXIC,20220224,12587.88,13473.59,13486.11,12587.88,13037.49,436.1,3.34,6.89,1379519.0
IXIC,20220223,13511.75,13037.49,13533.78,13032.17,13381.52,-344.03,-2.57,3.75,944399.32
IXIC,20220222,13424.36,13381.52,13618.72,13249.65,13548.07,-166.55,-1.23,2.72,1015769.2
IXIC,20220218,13735.4,13548.07,13762.4,13465.56,13716.72,-168.65,-1.23,2.16,1016699.9
IXIC,20220217,14004.19,13716.72,14020.82,13704.7,14124.09,-407.37,-2.88,2.24,922818.25
IXIC,20220216,14038.92,14124.09,14163.73,13931.99,14139.76,-15.67,-0.11,1.64,838988.5
IXIC,20220215,13997.18,14139.76,14142.49,13976.29,13790.92,348.84,2.53,1.21,903092.44
IXIC,20220214,13768.97,13790.92,13921.71,13664.76,13791.15,-0.23,0.0,1.86,936804.82
IXIC,20220211,14213.62,13791.15,14246.7,13733.16,14185.64,-394.49,-2.78,3.62,1076256.0
IXIC,20220210,14228.68,14185.64,14509.56,14118.2,14490.37,-304.73,-2.1,2.7,1062065.0
IXIC,20220209,14368.16,14490.37,14490.72,14330.87,14194.45,295.92,2.08,1.13,935010.07
IXIC,20220208,13984.43,14194.45,14226.48,13934.78,14015.67,178.78,1.28,2.08,865495.5
IXIC,20220207,14118.79,14015.67,14236.31,13974.1,14098.01,-82.34,-0.58,1.86,858015.63
IXIC,20220204,13958.48,14098.01,14222.76,13850.39,13878.82,219.19,1.58,2.68,862969.75
IXIC,20220203,14045.84,13878.82,14207.88,13851.74,14417.55,-538.73,-3.74,2.47,945508.38
IXIC,20220202,14494.47,14417.55,14504.82,14264.65,14346.0,71.55,0.5,1.67,1000144.5
IXIC,20220201,14277.43,14346.0,14358.69,14070.77,14239.88,106.12,0.75,2.02,961997.38
IXIC,20220131,13812.2,14239.88,14242.9,13767.71,13770.57,469.31,3.41,3.45,1237942.0
IXIC,20220128,13436.71,13770.57,13771.91,13236.56,13352.78,417.79,3.13,4.01,1060758.0
IXIC,20220127,13710.99,13352.78,13765.91,13322.66,13542.12,-189.34,-1.4,3.27,1065570.0
IXIC,20220126,13871.77,13542.12,14002.65,13392.19,13539.29,2.83,0.02,4.51,1182260.0
IXIC,20220125,13610.87,13539.29,13781.62,13414.14,13855.13,-315.84,-2.28,2.65,1040733.6
IXIC,20220124,13481.5,13855.13,13876.61,13094.65,13768.92,86.21,0.63,5.68,1545681.0
IXIC,20220121,14046.22,13768.92,14171.72,13764.24,14154.02,-385.1,-2.72,2.88,1323730.0
IXIC,20220120,14462.85,14154.02,14642.03,14140.78,14340.26,-186.24,-1.3,3.5,1018127.0
IXIC,20220119,14582.22,14340.26,14658.89,14331.65,14506.9,-166.64,-1.15,2.26,935063.38
IXIC,20220118,14681.83,14506.9,14740.54,14482.94,14893.75,-386.85,-2.6,1.73,1063941.0
IXIC,20220114,14708.02,14893.75,14897.68,14689.43,14806.81,86.94,0.59,1.41,872562.94
IXIC,20220113,15245.04,14806.81,15259.71,14782.24,15188.39,-381.58,-2.51,3.14,852152.32
IXIC,20220112,15263.1,15188.39,15319.03,15117.29,15153.45,34.94,0.23,1.33,840024.32
IXIC,20220111,14919.26,15153.45,15158.71,14837.63,14942.83,210.62,1.41,2.15,863020.63
IXIC,20220110,14751.78,14942.83,14953.85,14530.23,14935.9,6.93,0.05,2.84,1090714.0
IXIC,20220107,15095.72,14935.9,15171.02,14877.63,15080.86,-144.96,-0.96,1.95,852529.25
IXIC,20220106,15024.15,15080.86,15198.45,14914.87,15100.17,-19.31,-0.13,1.88,951121.69
IXIC,20220105,15547.16,15100.17,15586.3,15095.18,15622.72,-522.55,-3.34,3.14,1014064.9
IXIC,20220104,15852.14,15622.72,15852.14,15512.41,15832.8,-210.08,-1.33,2.15,970695.38
IXIC,20220103,15732.5,15832.8,15832.8,15644.09,15644.97,187.83,1.2,1.21,871645.82
IXIC,20211231,15722.91,15644.97,15777.43,15643.94,15741.56,-96.59,-0.61,0.85,729413.75
IXIC,20211230,15758.99,15741.56,15868.09,15729.16,15766.22,-24.66,-0.16,0.88,768182.44
IXIC,20211229,15794.92,15766.22,15821.81,15679.85,15781.72,-15.5,-0.1,0.9,699592.69
IXIC,20211228,15895.2,15781.72,15901.47,15757.07,15871.26,-89.54,-0.56,0.91,691465.69
IXIC,20211227,15696.83,15871.26,15871.4,15696.83,15653.37,217.89,1.39,1.12,741101.75
IXIC,20211223,15544.79,15653.37,15697.98,15528.91,15521.89,131.48,0.85,1.09,746131.94
IXIC,20211222,15319.16,15521.89,15525.97,15303.06,15341.09,180.8,1.18,1.45,783465.44
IXIC,20211221,15140.43,15341.09,15349.06,15015.03,14980.94,360.15,2.4,2.23,976825.5
IXIC,20211220,14933.0,14980.94,15007.3,14860.04,15169.68,-188.74,-1.24,0.97,1021188.4
IXIC,20211217,15036.77,15169.68,15288.78,14960.37,15180.43,-10.75,-0.07,2.16,3006525.0
IXIC,20211216,15629.08,15180.43,15633.19,15119.49,15565.58,-385.15,-2.47,3.3,1103187.0
IXIC,20211215,15230.71,15565.58,15575.76,15055.23,15237.64,327.94,2.15,3.42,1174300.0
IXIC,20211214,15215.96,15237.64,15317.55,15097.35,15413.28,-175.64,-1.14,1.43,1029701.5
IXIC,20211213,15621.27,15413.28,15637.06,15408.25,15630.6,-217.32,-1.39,1.46,996247.75
IXIC,20211210,15629.59,15630.6,15677.6,15477.85,15517.37,113.23,0.73,1.29,875078.69
IXIC,20211209,15720.54,15517.37,15796.05,15511.12,15786.99,-269.62,-1.71,1.8,869498.38
IXIC,20211208,15690.65,15786.99,15792.64,15618.88,15686.92,100.07,0.64,1.11,921934.07
IXIC,20211207,15510.92,15686.92,15720.09,15507.66,15225.15,461.77,3.03,1.4,1056880.0
IXIC,20211206,15117.63,15225.15,15281.99,14931.61,15085.47,139.68,0.93,2.32,1074399.0
IXIC,20211203,15428.71,15085.47,15470.36,14931.06,15381.32,-295.85,-1.92,3.51,1202856.0
IXIC,20211202,15181.83,15381.32,15444.54,15150.12,15254.05,127.27,0.83,1.93,1104337.0
IXIC,20211201,15752.27,15254.05,15816.82,15243.93,15537.69,-283.64,-1.83,3.69,1221671.0
IXIC,20211130,15716.5,15537.69,15828.2,15451.39,15782.83,-245.14,-1.55,2.39,1775153.0
IXIC,20211129,15719.42,15782.83,15833.11,15644.61,15491.66,291.17,1.88,1.22,1011739.0
IXIC,20211126,15664.38,15491.66,15731.54,15456.09,15845.23,-353.57,-2.23,1.74,781488.57
IXIC,20211124,15677.88,15845.23,15848.56,15591.36,15775.14,70.09,0.44,1.63,842327.13
IXIC,20211123,15809.5,15775.14,15895.86,15601.46,15854.76,-79.62,-0.5,1.86,1067209.0
IXIC,20211122,16120.92,15854.76,16212.23,15851.04,16057.44,-202.68,-1.26,2.25,1126326.0
IXIC,20211119,16042.17,16057.44,16121.12,16017.23,15993.71,63.73,0.4,0.65,1020182.6
IXIC,20211118,15973.4,15993.71,16010.88,15848.83,15921.57,72.14,0.45,1.02,1080192.0
IXIC,20211117,15973.61,15921.57,15998.57,15909.39,15973.86,-52.29,-0.33,0.56,966811.88
IXIC,20211116,15840.32,15973.86,15989.61,15825.0,15853.85,120.01,0.76,1.04,1014052.2
IXIC,20211115,15894.82,15853.85,15918.45,15778.31,15860.96,-7.11,-0.04,0.88,952144.69
IXIC,20211112,15752.62,15860.96,15874.57,15705.38,15704.28,156.68,1.0,1.08,988929.57
IXIC,20211111,15752.08,15704.28,15768.03,15695.77,15622.71,81.57,0.52,0.46,867114.19
IXIC,20211110,15753.84,15622.71,15867.24,15543.68,15886.54,-263.83,-1.66,2.04,989632.19
IXIC,20211109,16024.13,15886.54,16035.21,15836.68,15982.36,-95.82,-0.6,1.24,1028740.9
IXIC,20211108,15995.72,15982.36,16038.23,15961.81,15971.59,10.77,0.07,0.48,1057188.0
IXIC,20211105,16003.56,15971.59,16053.39,15900.78,15940.31,31.28,0.2,0.96,1060776.0
IXIC,20211104,15849.74,15940.31,15966.09,15827.66,15811.58,128.73,0.81,0.88,1017378.0
IXIC,20211103,15658.52,15811.58,15821.57,15616.44,15649.6,161.98,1.04,1.31,1002861.8
IXIC,20211102,15583.99,15649.6,15656.6,15569.27,15595.92,53.68,0.34,0.56,997883.88
IXIC,20211101,15541.26,15595.92,15598.95,15470.82,15498.39,97.53,0.63,0.83,1002277.0
IXIC,20211029,15323.29,15498.39,15504.12,15323.29,15448.12,50.27,0.33,1.17,1058487.0
IXIC,20211028,15304.74,15448.12,15452.3,15290.31,15235.84,212.28,1.39,1.06,1061640.0
IXIC,20211027,15276.0,15235.84,15364.54,15235.84,15235.71,0.13,0.0,0.84,1091995.0
IXIC,20211026,15317.5,15235.71,15384.0,15198.23,15226.71,9.0,0.06,1.22,1220781.0
