ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,19940826,707.41,728.26,728.76,707.41,722.23,-14.82,-2.052,4949756.0,4132017.324
000001.SH,19940825,722.23,704.47,724.15,704.47,705.71,16.52,2.3409,4022221.0,3393026.642
000001.SH,19940824,705.71,718.61,727.41,704.67,714.61,-8.9,-1.2454,5104219.0,4762955.361
000001.SH,19940823,714.61,694.71,714.62,673.67,681.8,32.81,4.8123,4099113.0,3007486.78
000001.SH,19940822,681.8,680.07,697.55,668.72,713.85,-32.05,-4.4897,4689260.0,3362148.177
000001.SH,19940819,713.85,750.67,760.27,707.02,748.56,-34.71,-4.6369,8427972.0,6684195.151
000001.SH,19940818,748.56,734.84,772.32,726.09,725.04,23.52,3.244,13240724.0,11000314.111
000001.SH,19940817,725.04,703.88,725.04,693.02,693.01,32.03,4.6219,5418758.0,4597869.652
000001.SH,19940816,693.01,670.0,713.9,668.0,665.88,27.13,4.0743,7200028.0,4355285.392
000001.SH,19940815,665.88,671.1,691.22,654.22,689.66,-23.78,-3.4481,4551259.0,3055076.373
000001.SH,19940812,689.66,676.07,731.02,675.28,689.31,0.35,0.0508,7254857.0,4955084.079
000001.SH,19940811,689.31,765.32,768.08,684.53,739.66,-50.35,-6.8072,16929738.0,12471933.56
000001.SH,19940810,739.66,619.34,739.66,597.26,621.58,118.08,18.9968,14283870.0,9542152.722
000001.SH,19940809,621.58,715.54,715.54,608.68,711.8,-90.22,-12.6749,9620500.0,6787234.893
000001.SH,19940808,711.8,720.48,754.67,671.67,683.04,28.76,4.2106,15876782.0,11441736.683
000001.SH,19940805,683.04,579.47,683.04,579.47,562.77,120.27,21.3711,17730586.0,10436576.241
000001.SH,19940804,562.77,558.69,592.98,522.98,522.98,39.79,7.6083,17575995.0,10538590.712
000001.SH,19940803,522.98,438.52,523.03,434.11,432.61,90.37,20.8895,8344837.0,4575471.848
000001.SH,19940802,432.61,451.18,494.81,431.58,445.64,-13.03,-2.9239,9188949.0,5343167.33
000001.SH,19940801,445.64,394.87,448.91,377.97,333.92,111.72,33.4571,6203991.0,3047689.88
000001.SH,19940729,333.92,335.45,338.96,325.89,339.81,-5.89,-1.7333,1183388.0,482767.182
000001.SH,19940728,339.81,366.55,367.72,339.04,371.1,-31.29,-8.4317,1280774.0,557004.735
000001.SH,19940727,371.1,387.81,392.17,369.04,388.75,-17.65,-4.5402,1834646.0,855892.461
000001.SH,19940726,388.75,376.76,388.8,372.11,375.39,13.36,3.559,1693893.0,797643.739
000001.SH,19940725,375.39,357.4,375.39,354.5,363.73,11.66,3.2057,940691.0,425631.034
000001.SH,19940722,363.73,378.19,378.23,362.29,380.9,-17.17,-4.5077,782751.0,357768.208
000001.SH,19940721,380.9,390.94,390.99,380.72,393.87,-12.97,-3.293,519747.0,240580.873
000001.SH,19940720,393.87,401.98,402.59,393.14,400.48,-6.61,-1.6505,334605.0,167150.604
000001.SH,19940719,400.48,398.9,403.49,393.06,398.96,1.52,0.381,388639.0,179714.856
000001.SH,19940718,398.96,405.61,406.64,397.47,413.93,-14.97,-3.6166,450040.0,209533.202
000001.SH,19940715,413.93,431.01,431.05,413.0,431.8,-17.87,-4.1385,696118.0,369175.494
000001.SH,19940714,431.8,437.53,440.59,430.57,437.62,-5.82,-1.3299,790636.0,498111.687
000001.SH,19940713,437.62,430.55,437.66,430.4,429.21,8.41,1.9594,461652.0,251675.038
000001.SH,19940712,429.21,427.62,431.15,427.23,428.15,1.06,0.2476,322477.0,159813.616
000001.SH,19940711,428.15,436.54,436.54,427.08,437.75,-9.6,-2.193,660753.0,406679.062
000001.SH,19940708,437.75,426.25,438.06,425.9,425.98,11.77,2.763,596502.0,325375.151
000001.SH,19940707,425.98,428.3,430.58,423.03,431.71,-5.73,-1.3273,441382.0,239545.352
000001.SH,19940706,431.71,444.59,445.05,430.77,443.61,-11.9,-2.6825,562537.0,275081.877
000001.SH,19940705,443.61,437.64,443.86,436.22,438.58,5.03,1.1469,438989.0,237065.955
000001.SH,19940704,438.58,446.23,446.86,438.12,458.37,-19.79,-4.3175,519699.0,277932.518
000001.SH,19940701,458.37,469.27,469.43,457.51,469.29,-10.92,-2.3269,528995.0,309435.96
000001.SH,19940630,469.29,466.35,471.18,458.74,468.2,1.09,0.2328,475173.0,268926.728
000001.SH,19940629,468.2,472.48,475.38,466.97,469.95,-1.75,-0.3724,343038.0,192562.032
000001.SH,19940628,469.95,470.54,472.95,468.77,472.1,-2.15,-0.4554,387833.0,207516.279
000001.SH,19940627,472.1,483.45,483.9,471.03,492.33,-20.23,-4.109,661367.0,380743.379
000001.SH,19940624,492.33,499.91,500.5,490.68,500.39,-8.06,-1.6107,599505.0,364686.242
000001.SH,19940623,500.39,507.03,507.92,498.57,505.18,-4.79,-0.9482,624638.0,391212.924
000001.SH,19940622,505.18,499.14,509.19,499.14,498.07,7.11,1.4275,556087.0,324051.161
000001.SH,19940621,498.07,498.56,501.24,494.81,502.43,-4.36,-0.8678,636656.0,372147.027
000001.SH,19940620,502.43,523.37,531.11,500.46,527.85,-25.42,-4.8158,1858213.0,1115201.494
000001.SH,19940617,527.85,509.09,528.45,504.13,506.36,21.49,4.244,1842022.0,992650.193
000001.SH,19940616,506.36,498.11,506.4,494.94,496.11,10.25,2.0661,797724.0,435822.257
000001.SH,19940615,496.11,492.84,498.71,491.18,490.75,5.36,1.0922,829897.0,414025.371
000001.SH,19940614,490.75,492.45,497.8,487.26,492.03,-1.28,-0.2601,751739.0,429329.514
000001.SH,19940613,492.03,505.54,505.68,491.61,514.54,-22.51,-4.3748,707644.0,410018.711
000001.SH,19940610,514.54,519.84,521.84,512.03,523.0,-8.46,-1.6176,784703.0,531074.637
000001.SH,19940609,523.0,534.24,536.89,521.02,533.56,-10.56,-1.9792,931669.0,725095.114
000001.SH,19940608,533.56,526.4,535.52,522.85,529.76,3.8,0.7173,805043.0,539957.391
000001.SH,19940607,529.76,541.16,541.25,527.93,542.97,-13.21,-2.4329,586253.0,430936.321
000001.SH,19940606,542.97,549.03,549.66,540.99,548.75,-5.78,-1.0533,1169550.0,361800.371
000001.SH,19940603,548.75,547.21,555.39,547.15,546.58,2.17,0.397,1757666.0,554162.621
000001.SH,19940602,546.58,543.3,548.12,543.1,545.05,1.53,0.2807,1835763.0,415087.253
000001.SH,19940601,545.05,554.08,556.9,543.88,556.26,-11.21,-2.0152,2250024.0,558840.169
000001.SH,19940531,556.26,538.45,556.28,537.78,544.26,12.0,2.2048,3108228.0,493964.148
000001.SH,19940530,544.26,565.63,565.87,543.19,573.36,-29.1,-5.0753,6412940.0,661342.326
000001.SH,19940527,573.36,572.97,574.78,566.37,577.46,-4.1,-0.71,1299107.0,774701.009
000001.SH,19940526,577.46,586.09,587.16,575.93,586.76,-9.3,-1.585,1099491.0,648945.911
000001.SH,19940525,586.76,591.23,592.85,585.15,590.46,-3.7,-0.6266,1076634.0,682096.9
000001.SH,19940524,590.46,586.5,590.52,586.5,587.65,2.81,0.4782,1047124.0,605327.688
000001.SH,19940523,587.65,594.52,597.15,586.39,594.22,-6.57,-1.1057,1585670.0,865000.448
000001.SH,19940520,594.22,592.38,597.72,588.37,590.54,3.68,0.6232,2057304.0,1441660.834
000001.SH,19940519,590.54,578.8,590.63,576.85,583.32,7.22,1.2377,1231949.0,651372.196
000001.SH,19940518,583.32,590.32,591.61,581.73,592.02,-8.7,-1.4695,1945166.0,783223.372
000001.SH,19940517,592.02,592.29,594.98,589.53,592.57,-0.55,-0.0928,1637435.0,917132.979
000001.SH,19940516,592.57,597.12,597.12,588.48,590.39,2.18,0.3692,2653975.0,1403832.742
000001.SH,19940513,590.39,582.51,590.4,575.28,582.16,8.23,1.4137,1466810.0,1033986.347
000001.SH,19940512,582.16,586.15,593.7,580.39,591.18,-9.02,-1.5258,1844336.0,1379203.348
000001.SH,19940511,591.18,603.27,606.73,589.64,595.38,-4.2,-0.7054,2548720.0,2022743.017
000001.SH,19940510,595.38,584.77,595.42,584.54,581.7,13.68,2.3517,1716041.0,1253771.251
000001.SH,19940509,581.7,587.94,588.38,576.94,585.8,-4.1,-0.6999,1749043.0,1076955.205
000001.SH,19940506,585.8,589.23,592.75,575.25,590.87,-5.07,-0.8581,1776204.0,1479680.182
